Tipo de Especie,Cantidad Producida,Mes,Año,
Agave,100,Enero,2017,
Cheflera,300,Enero,2017,
Crotos,2500,Enero,2017,
Iris Amarillas,790,Enero,2017,
Palma Manila,200,Enero,2017,
Refresa,1000,Enero,2017,
Romana,1460,Enero,2017,
Trinitaria,1200,Enero,2017,
Tu y Yo,2150,Enero,2017,
Violeta,400,Enero,2017,
Canción de la India,1060,Febrero,2017,
Crotos,1490,Febrero,2017,
Guanabana,200,Febrero,2017,
Iris Amarillas,230,Febrero,2017,
Jazmin,370,Febrero,2017,
Rosas del Peru,1840,Febrero,2017,
Skabiola,3000,Febrero,2017,
Tocador,770,Febrero,2017,
Trinitaria,2900,Febrero,2017,
Canción de la India,870,Marzo,2017,
Crotos,830,Marzo,2017,
Cucarachita,1500,Marzo,2017,
Palma Manila,250,Marzo,2017,
Palma Real,850,Marzo,2017,
Suculenta,400,Marzo,2017,
Trinitaria,500,Marzo,2017,
Uva de Playa,700,Marzo,2017,
Vinagrillo,5190,Marzo,2017,
Canción de la India,360,Abril,2017,
Cayena,630,Abril,2017,
Copada,700,Abril,2017,
Coralillo,150,Abril,2017,
Crotos,780,Abril,2017,
Cufia,500,Abril,2017,
Ficus Japones,430,Abril,2017,
Gallego Perejil,500,Abril,2017,
Rosas del Peru,750,Abril,2017,
Trinitaria,1530,Abril,2017,
Agave,130,Mayo,2017,
Avellana,160,Mayo,2017,
Lengua de Vaca,500,Mayo,2017,
Maguelito,430,Mayo,2017,
Skabiola,330,Mayo,2017,
Tocador,686,Mayo,2017,
Trinitaria,2610,Mayo,2017,
Tu y Yo,660,Mayo,2017,
Waifer,530,Mayo,2017,
Cayena,570,Junio,2017,
Palma Manila,5310,Junio,2017,
Tocador,300,Junio,2017,
Trinitaria,500,Junio,2017,
Violeta,6720,Junio,2017,
Aleli,520,Julio,2017,
Avellana,600,Julio,2017,
Chinola,100,Julio,2017,
Coralillo,2930,Julio,2017,
Crotos,1800,Julio,2017,
Ficus Didacta,200,Julio,2017,
Guardia Civil,220,Julio,2017,
Iris Amarillas,730,Julio,2017,
Lengua de Vaca,240,Julio,2017,
Lluvia del Coral,876,Julio,2017,
Palma Cana,2010,Julio,2017,
Palma Manila,630,Julio,2017,
Palma Mongom,730,Julio,2017,
Violeta,3510,Julio,2017,
Avellana,350,Agosto,2017,
Canción de la India,370,Agosto,2017,
Crotos,630,Agosto,2017,
Duende,200,Agosto,2017,
Ficus Japones,450,Agosto,2017,
Guanabana,160,Agosto,2017,
Helechos,300,Agosto,2017,
Malba Rojas,970,Agosto,2017,
Palma Mongom,200,Agosto,2017,
Palma Real,500,Agosto,2017,
Palma Wasint,5117,Agosto,2017,
Skabiola,4410,Agosto,2017,
Violeta,380,Agosto,2017,
Avellana,110,Septiembre,2017,
Coralillo,1280,Septiembre,2017,
Gallego Perejil,170,Septiembre,2017,
Jamon con Pan,360,Septiembre,2017,
Palma Cana,4400,Septiembre,2017,
